"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"IN01_01"	"IN02_01"	"IN03"	"IN04_01"	"QU01"	"QU02"	"QU03"	"QU04"	"QU05"	"QU06"	"QU07"	"QU08"	"RA01_01"	"RA01_02"	"RA01_03"	"RA01_04"	"RA01_05"	"RA01_06"	"RA01_07"	"RA01_08"	"RA01_09"	"RA01_10"	"RA01_11"	"RA01_12"	"RA01_13"	"RA01_14"	"RA01_15"	"RA01_16"	"RA01_17"	"RA01_18"	"RA01_21"	"RA01_22"	"RA01_23"	"RA02_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
224			"NM"	"orgtest"	2015-02-24 09:27:46	"Test"	"22"	2	"xw5c"	2	1	2	1	2	1	2	1	5	5	5	5	5	5	5	7	5	6	5	5	5	5	3	1	5	4	6	5	5	"Test"	20	3	3	5		4	7	9	3	5	28	87		2015-02-24 09:29:13	T	11	11	0	0	0	89	89
225			"NM"	"orgtest"	2015-02-24 09:33:35	"afaacsda"	"31"	2	"xw5c"	1	1	1	1	1	2	1	1	2	1	2	3	1	3	3	3	4	4	4	2	5	4	2	4	1	2	7	1	7		88	13		7	13	6	12	6	9	9	73	236		2015-02-24 09:37:31	T	11	11	3	1	8	11	19
226			"NM"	"orgtest"	2015-02-24 09:33:52	"edsdf"	"28"	2	"xw5c"	2	1	1	1	1	2	2	1	5	3	4	2	3	3	4	5	2	4	5	4	4	3	2	5	3	2	2	3	5		57	12	11	5	15	7	8	6		5	30	156		2015-02-24 09:36:28	T	11	11	3	1	8	19	27
227			"Her"	"orgtest"	2015-02-24 09:34:41	"z2Ã¼?"	"28"	2	"xw5c"	2	1	1	1	1	2	2	1	5	4	5	4	4	5	5	5	5	5	5	5	5	6	3	4	4	3	7	1	7	"Speech synthesis is sometimes stretched form too long pronounced words. Other than that, very nice. Maybe more active, eg facial expressions would be nice (my view as an uninformed participant)."	110	229		9	14	12	11	8	12	9	194	400		2015-02-24 09:44:49	T	11	11	0	0	0	0	0
228			"BL"	"orgtest"	2015-02-24 09:45:34	"dshsgd"	"30"	2	"xw5c"	2	1	1	2	1	2	2	1	4	2	5	4	5	3	4	5	4	5	2	3	3	3	3	2	2	3	6	1	7		79	11	10	5	13	14	13	7		5	96	253		2015-02-24 09:49:47	T	11	11	3	1	8	7	15
229			"BL"	"orgtest"	2015-02-24 10:08:31	"blablabla"	"30"	1	"xw5c"	2	1	2	1	1	2	2	1	6	1	4	6	5	1	1	1	1	7	7	1	7	1	4	6	1	4	7	1	7		94	48	24	7	28	10	12	9		8	170	410		2015-02-24 10:15:21	T	11	11	3	1	8	0	8
231			"Yu"	"orgtest"	2015-02-24 10:15:24	"1337"	"29"	2	"xw5c"	2	2	1	1	1	2	2	2	5	3	6	6	5	4	4	6	7	4	7	5	5	6	2	7	2	6	6	1	6		85	32	18	9	31	33	26	9		9	110	324		2015-02-24 10:21:26	T	11	11	3	1	8	0	8
239			"BL"	"orgtest"	2015-02-24 11:37:16		"31"	2	"xw5c"																															64											64		2015-02-24 11:38:20	F	1	1	25	23	200	0	200
242			"NM"	"orgtest"	2015-02-24 12:07:58	"a"	"27"	2	"xw5c"	2	1	2	1	1	2	1	1	2	2	2	2	2	2	2	7	3	5	4	4	6	3	4	2	1	2	7	1	7		83	9	16	4	11	5	8	4		3	79	222		2015-02-24 12:11:40	T	11	11	3	1	8	26	34
244			"Yu"	"orgtest"	2015-02-24 12:08:46	"Cheating trick"	"99"	1	"xw5c"	2	1	2	1	2	2	2	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5		59	21	4	7		12	3	4	2475	6	32	160		2015-02-24 12:52:29	T	11	11	3	1	8	34	42
245			"Yu"	"orgtest"	2015-02-24 12:10:32		"24"	2	"xw5c"																															27											27		2015-02-24 12:10:59	F	1	1	25	23	200	62	262
247			"Yu"	"orgtest"	2015-02-24 12:20:27	"123456"	"24"	2	"xw5c"	2	1	2	1	1	2	1	1	2	2	3	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	5	1	7	"The head of Armandia's was always tilting, which was really disturbing"	61	22	17	6	21	8	11	8		9	82	245		2015-02-24 12:24:32	T	11	11	0	0	0	1	1
249			"Her"	"orgtest"	2015-02-24 12:27:06	"555"	"31"	1	"xw5c"			2	1	1	2																									108	15			33	7		10				173		2015-02-24 12:29:59	F	6	8	0	0	0	8	8
250			"BL"	"orgtest"	2015-02-24 12:40:24	"qsdq"	"26"	1	"xw5c"			1	1																											48	130				10						79		2015-02-24 12:43:32	F	6	6	0	0	0	4	4
251			"BL"	"orgtest"	2015-02-24 12:47:47	"42"	"29"	2	"xw5c"	2	1	2	1	1	2	1	1	3	2	4	2	3	2	1	4	3	5	5	4	5	3	3	2	2	4	5	1	6	"the appearance is ok but its voice is too robotic and sometimes hard to understand because the transition between words is too quick"	28	47	9	5		11	9	7	15	6	178	315		2015-02-24 12:53:02	T	11	11	0	0	0	8	8
256			"Her"	"orgtest"	2015-02-24 13:01:38	"Cheating trick"	"99"	2	"xw5c"	2	1	2	1	1	2	1	1	5	2	3	3	4	6	5	3	7	1	7	4	1	7	4	4	6	2	1	5	5		25	4	2	5	2	6	3	6		5	76	134		2015-02-24 13:03:52	T	11	11	3	1	8	101	110
257			"NM"	"orgtest"	2015-02-24 13:04:16	"Cheating trick"	"10"	1	"xw5c"	2	1	2	1	1	1	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		21	36	48	7		19	14	15	12	6	24	158		2015-02-24 13:07:38	T	11	11	3	1	8	21	30
258			"Yu"	"orgtest"	2015-02-24 13:14:57	"azerty"	"31"	2	"xw5c"	2	1	2	2	1	2	2	1	4	4	4	4	4	4	6	4	6	4	6	4	6	4	5	3	3	3	5	1	7		32	33		5	15	6	12	10	12	6	200	331		2015-02-24 13:20:28	T	11	11	3	1	8	8	16
260			"Yu"	"orgtest"	2015-02-24 14:17:29	"987"	"27"	1	"xw5c"	2	1	2	1	1	2	2	1	4	3	4	4	4	4	3	5	5	4	4	5	5	4	5	5	4	5	5	2	6	"You have to pay attention because the intonation doesn't emphasize the important information (time, day)."	60	15	10	5	15	10	10	5		5	308	443		2015-02-24 14:24:52	T	11	11	0	0	0	6	6
262			"BL"	"orgtest"	2015-02-24 15:55:43	"456"	"12"	2	"xw5c"																															102											102		2015-02-24 15:57:25	F	1	1	0	0	0	0	0
